Longitude,Latitude,MudPercent,SandPercent,GravelPercent,TotalD50,SandD50,GravelD50,Rock10cm,Rock50cm,Porosity,Permeability,POC,TN,SurfaceCarbon,SurfaceNitrogen,OrbitalVelMean,OrbitalVelMax,TidalVelMean,TidalVelMax
2.0625,54.0625,9.664083480834961,90.2602310180664,0.07568911463022232,0.1564323753118515,0.2243805080652237,6.66067361831665,0,0,0.42365986108779907,1.1717025732906755e-13,0.282324880361557,0.031109735369682312,0.4311951994895935,0.047513943165540695,0.017429640516638756,0.1810830980539322,27.60224151611328,71.87568664550781
2.1875,54.0625,13.039637565612793,85.14128112792969,1.8190807104110718,0.1462327539920807,0.15231731534004211,4.062821388244629,0,0,0.4294477701187134,8.583827821716933e-14,0.28490743041038513,0.031317491084337234,0.4307696223258972,0.04735089838504791,0.0141852255910635,0.1568610519170761,26.795026779174805,68.82837677001953
2.3125,54.0625,11.021221160888672,88.9612045288086,0.01757395640015602,0.16869260370731354,0.15813373029232025,3.741133689880371,0,0,0.4177335798740387,1.6597713600654401e-13,0.3351766765117645,0.035050004720687866,0.5171796083450317,0.054082367569208145,0.018443001434206963,0.1913517266511917,23.21363639831543,56.37379455566406
2.4375,54.0625,14.311667442321777,85.66280364990234,0.025525415316224098,0.16323921084403992,0.16512732207775116,3.8520267009735107,0,0,0.4202451705932617,1.4262148319982293e-13,0.43388858437538147,0.04991266131401062,0.6666048169136047,0.07668332755565643,0.03209865093231201,0.2834605574607849,21.558124542236328,53.72811508178711
2.5625,54.0625,14.644111633300781,83.6139144897461,1.7419730424880981,0.1451118141412735,0.3454536199569702,4.1462578773498535,0,0,0.43013906478881836,8.284348142380271e-14,0.34661194682121277,0.05215727165341377,0.5234295725822449,0.07876433432102203,0.016866877675056458,0.1819337010383606,21.391271591186523,53.90544891357422
2.6875,54.0625,22.896692276000977,69.06391906738281,8.039386749267578,0.20597144961357117,0.13400843739509583,5.563427448272705,0,0,0.40458959341049194,4.1708002611502704e-13,0.4196992814540863,0.04545595496892929,0.6622173190116882,0.071722112596035,0.02207094244658947,0.22158972918987274,19.500978469848633,48.608009338378906
2.8125,54.0625,11.141980171203613,88.443817138671875,0.41420409083366394,0.28032681345939636,0.20665057003498077,3.7974212169647217,0,0,0.39021918177604675,1.7297062220034132e-12,0.43347111344337463,0.04690895602107048,0.7004542946815491,0.07580108195543289,0.016613833606243134,0.1824018955230713,17.605390548706055,43.396785736083984
2.9375,54.0625,7.740418434143066,92.258392333984375,0.0011876457137987018,0.311598539352417,0.1701602041721344,3.945129871368408,0,0,0.3865853548049927,2.8180125333926442e-12,0.36421939730644226,0.04391660541296005,0.592056393623352,0.07138858735561371,0.04471316933631897,0.36086374521255493,17.782390594482422,43.564064025878906
3.0625,54.0625,1.0458179712295532,93.77576446533203,5.178415775299072,0.3205793797969818,0.3449919819831848,4.9414544105529785,0,0,0.3857019543647766,3.2128661710262296e-12,0.299240380525589,0.04079718887805939,0.48713037371635437,0.06641332805156708,0.053794894367456436,0.40903398394584656,18.42470932006836,43.772403717041016
3.1875,54.0625,1.3430625200271606,79.59098815917969,19.065948486328125,0.30676940083503723,0.4297422170639038,6.459360122680664,0,0,0.38708701729774475,2.6220291129280815e-12,0.23485854268074036,0.037660665810108185,0.3814617991447449,0.061169181019067764,0.06217974051833153,0.4512290358543396,18.585527420043945,43.92215347290039
3.3125,54.0625,0.6902275085449219,96.6067886352539,2.70298433303833,0.27276846766471863,0.33599644899368286,4.760192394256592,0,0,0.3912535011768341,1.5247202372198343e-12,0.17047670483589172,0.034524139016866684,0.27500930428504944,0.05569358915090561,0.06269804388284683,0.4554758369922638,18.695077896118164,43.82160186767578
3.4375,54.0625,4.183333873748779,95.81666564941406,0,0.23035591840744019,0.20768938958644867,4.548371315002441,0,0,0.39863768219947815,6.989933805379156e-13,0.1068774089217186,0.031407687813043594,0.17032092809677124,0.05005161091685295,0.050268977880477905,0.39517027139663696,15.677253723144531,36.8926887512207
3.5625,54.0625,7.486666679382324,92.513336181640625,0,0.18647514283657074,0.17340831458568573,3.9782378673553467,0,0,0.41070109605789185,2.635819893511554e-13,0.10974922776222229,0.029999999329447746,0.17138902842998505,0.046849265694618225,0.044059351086616516,0.3634989857673645,14.717999458312988,33.85135269165039
3.6875,54.0625,8.068324089050293,91.90382385253906,0.027853012084960938,0.1615508794784546,0.1669873744249344,3.909406900405884,0,0,0.4210618734359741,1.3594011441693532e-13,0.23383785784244537,0.03771156817674637,0.35875076055526733,0.05785656347870827,0.0420805886387825,0.3572508990764618,14.13654899597168,31.23623275756836
3.8125,54.0625,9.048398971557617,90.91292572021484,0.03867814317345619,0.13039258122444153,0.15986725687980652,3.820650339126587,0,0,0.4404277503490448,5.056989644202335e-14,0.2560819387435913,0.038001153618097305,0.3797353208065033,0.05635063722729683,0.040206290781497955,0.35121458768844604,13.732673645019531,30.355342864990234
3.9375,54.0625,12.122448921203613,87.8681411743164,0.009409449994564056,0.10442974418401718,0.17523707449436188,3.7486274242401123,0,0,0.466089129447937,1.8149879792454457e-14,0.3300707936286926,0.04035106673836708,0.4670052230358124,0.05709126219153404,0.040068093687295914,0.35421526432037354,13.700620651245117,29.904340744018555
4.0625,54.0625,10.734506607055664,89.26549530029297,0,0.08988738059997559,0.16216349601745605,3.7420196533203125,0,0,0.4868578314781189,9.08488829819273e-15,0.2808157205581665,0.03834792599081993,0.38186073303222656,0.052146535366773605,0.03993307799100876,0.35722392797470093,14.188969612121582,30.6231632232666
4.1875,54.0625,6.560567855834961,93.4394302368164,0,0.09224364161491394,0.186786487698555,4.123872756958008,0,0,0.483075886964798,1.0237212248428215e-14,0.24779012799263,0.036692965775728226,0.33943504095077515,0.050263818353414536,0.03980158269405365,0.3602239787578583,14.69292163848877,32.40983200073242
4.3125,54.0625,12.435650825500488,87.56434631347656,0,0.09964258968830109,0.1781860738992691,3.755424737930298,0,0,0.4722883403301239,1.461583810794323e-14,0.32695016264915466,0.039308249950408936,0.45721882581710815,0.054970066994428635,0.04138023033738136,0.3724308907985687,14.771429061889648,31.76388168334961
