Longitude,Latitude,January,February,March,April,May,June,July,August,September,October,November,December
-15.0625,56.8125,0,0,0,0,0,0,0,0,0,0,0,0
-15.0625,56.9375,0,0,0,0,0,0,0,0,0,0,0,0
-15.0625,57.0625,0,0,0,0,0,0,0,0,0,0,0,0
-15.0625,57.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.9375,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.9375,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.9375,56.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.9375,56.3125,0,0.0250893272459507,0,0.005854176357388496,0,0,0,0,0.005854176357388496,0,0.011708352714776993,0.011330664157867432
-14.9375,56.4375,0,0.02938668429851532,0,0,0,0,0,0,0,0.0026542809791862965,0.008228271268308163,0.010617123916745186
-14.9375,56.5625,0,0.01801670901477337,9.572444832883775e-4,0,0,0,0,0,9.891525842249393e-4,9.572444832883775e-4,0.0029674579855054617,0.008615200407803059
-14.9375,56.6875,0,0.031693458557128906,0.0026023956015706062,0,0,0,0,0,0,0.0026023956015706062,0.005378284025937319,0.013011977076530457
-14.9375,56.8125,0,0.017618294805288315,0,0,0,0,0,0,0,0,0,0.007956650108098984
-14.9375,56.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.9375,57.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.9375,57.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.9375,57.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.8125,51.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.8125,52.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.8125,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.8125,56.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.8125,56.3125,0,0.038872137665748596,0.009575541131198406,0.013192967511713505,0.009575541131198406,0,0,0,0.009894725866615772,0.012767388485372066,0.019789451733231544,0.031918469816446304
-14.8125,56.4375,0,0.03936532884836197,0.0025396987330168486,0,0,0,0,0,0.0026243552565574646,0.0025396987330168486,0.013121776282787323,0.025396985933184624
-14.8125,56.5625,0.004613849334418774,0.05363599583506584,0.009227698668837547,0,0.002306924667209387,0,0,0,0.0023838221095502377,0.006920773535966873,0.011919110082089901,0.03229694440960884
-14.8125,56.6875,0.043472763150930405,0.1451701819896698,0.03477821126580238,0.041328106075525284,0.02086692675948143,0.019765615463256836,0.015650194138288498,0.01217237301170826,0.035937484353780746,0.04173385351896286,0.04851560294628143,0.0933832973241806
-14.8125,56.8125,0.027003465220332146,0.044058285653591156,0.02273976057767868,0.02496636100113392,0.008527410216629505,0.0029372191056609154,0,0.002842470072209835,0.016154704615473747,0.01989728957414627,0.026434971019625664,0.03979457914829254
-14.8125,56.9375,0,0.03510160744190216,0,0,0,0,0,0,0,0,0.005956636276096106,0.014411216601729393
-14.8125,57.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.8125,57.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.8125,57.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.8125,57.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.8125,57.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,51.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,52.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,52.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,52.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,52.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,52.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,52.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,52.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,53.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,56.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,56.3125,0,0.004493382293730974,0,0,0,0,0,0,0,0,0.00419382331892848,0.004058538936078548
-14.6875,56.4375,0,0.013055380433797836,0,0,0,0,0,0,0,0,0.0060925111174583435,0.01179195661097765
-14.6875,56.5625,0.010038847103714943,0.04075293615460396,0.006692564580589533,0,0.0016731411451473832,0,0,0,0,0.0050194235518574715,0.012102387845516205,0.02677025832235813
-14.6875,56.6875,0.050834253430366516,0.2663300931453705,0.0724610760807991,0.050834253430366516,0.04919444024562836,0.047445304691791534,0.04263518005609512,0.04427499324083328,0.050834253430366516,0.050834253430366516,0.09552969038486481,0.18059518933296204
-14.6875,56.8125,0.06862656027078629,0.4052727222442627,0.10439920425415039,0.06633900851011276,0.061985280364751816,0.04803859069943428,0.055344000458717346,0.05755775794386864,0.06633900851011276,0.06862656027078629,0.10101652145385742,0.2117171436548233
-14.6875,56.9375,0.005553531460464001,0.040990352630615234,0.00740470876917243,0,0,0,0,0,0,0.0018511771922931075,0.00765153206884861,0.024065302684903145
-14.6875,57.0625,0,0.010676741600036621,0,0,0,0,0,0,0,0,0,0.004821754060685635
-14.6875,57.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,57.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,57.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,57.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,57.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.6875,57.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,51.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,51.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,52.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,52.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,52.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,52.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,52.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,52.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,52.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,52.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,53.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,53.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,56.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,56.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,56.5625,0,0.04126608744263649,0,0,0,0,0,0,0,0,0.006419168785214424,0.018636297434568405
-14.5625,56.6875,0.02832765504717827,0.03252434358000755,0.025180138647556305,0.026019476354122162,0.011540896259248257,0.01951460726559162,0.023081792518496513,0.022032620385289192,0.0238511860370636,0.02832765504717827,0.028187764808535576,0.02937682718038559
-14.5625,56.8125,0.03892645984888077,0.09754377603530884,0.03624187409877777,0.036062903702259064,0.02281895838677883,0.02774069458246231,0.030872708186507225,0.030872708186507225,0.036062903702259064,0.03892645984888077,0.03744993731379509,0.041611041873693466
-14.5625,56.9375,0.004488491453230381,0.027331706136465073,0.0067327371798455715,0.0023190537467598915,0,0,0,0.0022442457266151905,0.004638107493519783,0.0022442457266151905,0.006957161705940962,0.014587596990168095
-14.5625,57.0625,0,0.030379364266991615,0,0,0,0,0,0,0,0,0.00567081430926919,0.010975769720971584
-14.5625,57.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,57.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,57.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,57.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,57.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,57.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,57.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.5625,58.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,51.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,51.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,51.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,51.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,51.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,52.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,52.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,52.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,52.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,52.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,52.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,52.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,52.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,53.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,53.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,53.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,56.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,56.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,56.6875,0.006397639866918325,0.025971371680498123,0.005331366788595915,0.0033054472878575325,0.0010662733111530542,0.0011018157238140702,0,0.0031988199334591627,0.006610894575715065,0.005331366788595915,0.006610894575715065,0.01279527973383665
-14.4375,56.8125,0.0071137468330562115,0.00924566201865673,0.0071137468330562115,0.006711665540933609,0.002474346663802862,0.0022372219245880842,0.004948693327605724,0.005567280109971762,0.005433253012597561,0.0074230399914085865,0.005752856377512217,0.0071137468330562115
-14.4375,56.9375,0.010690337978303432,0.039452437311410904,0.010690337978303432,0.0073644551448524,0,0,0,0.003563445992767811,0.011046682484447956,0.008908615447580814,0.011046682484447956,0.01603550836443901
-14.4375,57.0625,0,0.018639642745256424,0.002405115170404315,0,0,0,0,0,0.002485285745933652,0,0.004970571491867304,0.007215345278382301
-14.4375,57.1875,0,0.02048422396183014,0,0,0,0,0,0,0.0031864347402006388,0,0.0063728694804012775,0.009250939823687077
-14.4375,57.3125,0,0.02027945965528488,0,0,0,0,0,0,0,0,0,0.004579233005642891
-14.4375,57.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,57.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,57.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,57.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,57.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,58.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.4375,58.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,51.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,51.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,51.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,51.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,51.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,52.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,52.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,52.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,52.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,52.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,52.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,52.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,52.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,53.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,53.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,53.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,53.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,56.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,56.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,56.8125,0.01529646199196577,0.048689182847738266,0.019120577722787857,0.01185475755482912,0.011472346261143684,0.00592737877741456,0,0.01338440366089344,0.01975793018937111,0.017208518460392952,0.015806343406438828,0.02294469252228737
-14.3125,56.9375,0,0.03266184404492378,0.00983367394655943,0.006774308625608683,0,0,0,0.0032778913155198097,0.010161463171243668,0.0032778913155198097,0.010161463171243668,0.016389455646276474
-14.3125,57.0625,0,0.023023147135972977,0.005198775324970484,0,0,0,0,0,0.0053720674477517605,0.002599387662485242,0.0053720674477517605,0.007798162754625082
-14.3125,57.1875,0.00330538023263216,0.03293575346469879,0.00661076046526432,0.005123339127749205,0,0,0,0.00165269011631608,0.005123339127749205,0.00330538023263216,0.008538899011909962,0.014874210581183434
-14.3125,57.3125,0.0063428436405956745,0.0386233851313591,0.00951426476240158,0.006554271560162306,0,0,0,0.0031714218202978373,0.011469975113868713,0.0063428436405956745,0.009831407107412815,0.020614242181181908
-14.3125,57.4375,0,0.055102985352277756,0.005530048627406359,0,0,0,0,0,0.0028571917209774256,0.0027650243137031794,0.005714383441954851,0.016590146347880363
-14.3125,57.5625,0,0.014483067207038403,0,0,0,0,0,0,0,0,0,0.0043604932725429535
-14.3125,57.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,57.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,57.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,58.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.3125,58.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,51.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,51.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,51.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,51.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,51.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,52.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,52.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,52.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,52.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,52.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,52.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,52.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,52.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,53.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,53.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,53.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,53.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,53.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,56.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,56.8125,0.008618700318038464,0.028626397252082825,0.008618700318038464,0.008905990049242973,0.001723740017041564,0,0,0.006894960068166256,0.012468386441469193,0.010342440567910671,0.010687188245356083,0.01551366038620472
-14.1875,56.9375,0,0.015239407308399677,0.006882313173264265,0,0,0,0,0,0.007111723534762859,0,0.0035558617673814297,0
-14.1875,57.0625,0,0.02079436555504799,0.004695502109825611,0,0,0,0,0,0.0048520187847316265,0,0.0048520187847316265,0.004695502109825611
-14.1875,57.1875,0.009686974808573723,0.04289946332573891,0.011301470920443535,0.01000987458974123,0.008072479628026485,0.0016683123540133238,0,0.008072479628026485,0.011678187176585197,0.009686974808573723,0.011678187176585197,0.020988445729017258
-14.1875,57.3125,0.022020123898983,0.060948558151721954,0.01981811225414276,0.01820330321788788,0.015414087101817131,0.006826238706707954,0,0.013212074525654316,0.020478716120123863,0.01761610060930252,0.022754129022359848,0.03523220121860504
-14.1875,57.4375,0.008460280485451221,0.03278358653187752,0.008460280485451221,0.007285241968929768,0.0014100468251854181,0,0,0.0028200936503708363,0.01019933819770813,0.007050233893096447,0.008742290548980236,0.018330607563257217
-14.1875,57.5625,0,0.041588976979255676,0.004419322125613689,0,0,0,0,0,0.0022833163384348154,0.0022096610628068447,0.004566632676869631,0.017677288502454758
-14.1875,57.6875,0,0.011521216481924057,0,0,0,0,0,0,0,0,0,0.0034687533043324947
-14.1875,57.8125,0,0.0032088186126202345,0,0,0,0,0,0,0,0,0,0
-14.1875,57.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,58.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.1875,58.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,51.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,51.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,51.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,51.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,51.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,52.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,52.1875,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,52.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,52.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,52.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,52.6875,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,52.8125,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,52.9375,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,53.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,53.1875,0,0.0013537704944610596,0,0,0,0,0,0,0,0,0,0
-14.0625,53.3125,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,53.4375,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,53.5625,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,56.8125,0.01001975778490305,0.024959933012723923,0.012524697929620743,0.010353750549256802,0.0025049394462257624,0,0,0.005009878892451525,0.012942187488079071,0.012524697929620743,0.010353750549256802,0.01001975778490305
-14.0625,56.9375,0,0.004519188776612282,0,0,0,0,0,0,0,0,0,0
-14.0625,57.0625,0,0.010677265003323555,0.004821990616619587,0,0,0,0,0,0.004982723854482174,0,0,0
-14.0625,57.1875,0.01579686813056469,0.044695109128952026,0.014041660353541374,0.016323430463671684,0.014041660353541374,0.0054411436431109905,0,0.012286453507840633,0.016323430463671684,0.014041660353541374,0.016323430463671684,0.026328114792704582
-14.0625,57.3125,0.023273589089512825,0.033904194831848145,0.023273589089512825,0.021517863497138023,0.01102433167397976,0.013923322781920433,0.017148960381746292,0.014699109829962254,0.01645483635365963,0.020823737606406212,0.022783620283007622,0.0281732939183712
-14.0625,57.4375,0.014075057581067085,0.03982347622513771,0.012511163018643856,0.01131217647343874,0.009383372031152248,0.003232050221413374,0,0.009383372031152248,0.01131217647343874,0.012511163018643856,0.012928200885653496,0.023458430543541908
-14.0625,57.5625,0.007320499047636986,0.0405241921544075,0.010980748571455479,0.005673386622220278,0,0,0,0.003660249523818493,0.005673386622220278,0.005490374285727739,0.011346773244440556,0.016471123322844505
-14.0625,57.6875,0,0.023018741980195045,0,0,0,0,0,0,0,0,0.008593663573265076,0.008316448889672756
-14.0625,57.8125,0,0.01221812516450882,0,0,0,0,0,0,0,0,0.0038011944852769375,0.0036785753909498453
-14.0625,57.9375,0,0.00902524869889021,0,0,0,0,0,0,0,0,0,0
-14.0625,58.0625,0,0,0,0,0,0,0,0,0,0,0,0
-14.0625,58.1875,0,0,0,0,0,0,0,0,0,0,0,0
-13.9375,51.5625,0,0,0,0,0,0,0,0,0,0,0,0
-13.9375,51.6875,0,0,0,0,0,0,0,0,0,0,0,0
-13.9375,51.8125,0,0,0,0,0,0,0,0,0,0,0,0
-13.9375,51.9375,0,0,0,0,0,0,0,0,0,0,0,0
-13.9375,52.0625,0,0,0,0,0,0,0,0,0,0,0,0
-13.9375,52.1875,0,0,0,0,0,0,0,0,0,0,0,0
-13.9375,52.3125,0,0,0,0,0,0,0,0,0,0,0,0
-13.9375,52.4375,0,0,0,0,0,0,0,0,0,0,0,0
-13.9375,52.5625,0,0,0,0,0,0,0,0,0,0,0,0
-13.9375,52.6875,0,0,0,0,0,0,0,0,0,0,0,0
-13.9375,52.8125,0,0,0,0,0,0,0,0,0,0,0,0
-13.9375,52.9375,0,0.003627029014751315,0,0,0,0,0,0,0,0,0,0
-13.9375,53.0625,0,0.003800238948315382,0,0,0,0,0,0,0,0,0,0.0025743553414940834
-13.9375,53.1875,0,4.8566327313892543e-4,6.266622949624434e-5,0,0,0,0,0,1.295102119911462e-4,0,0,2.5066491798497736e-4
-13.9375,53.3125,0,0.021131325513124466,0,0,0,0,0,0,0,0,0,0
-13.9375,53.4375,0,0.008520950563251972,0,0,0,0,0,0,0,0,0.0019882218912243843,0.003848171094432473
-13.9375,53.5625,0,0,0,0,0,0,0,0,0,0,0,0
-13.9375,53.6875,0,0,0,0,0,0,0,0,0,0,0,0
